99683372 , https://i.imgflip.com/1nck6k.jpg , 631 , 640 , [36, 40, 51], [251, 252, 252], [158, 169, 182], [90, 100, 136]
101716 , https://i.imgflip.com/26hg.jpg , 323 , 500 , [33, 50, 87], [125, 124, 138], [4, 6, 9], [101, 98, 107]
252600902 , https://i.imgflip.com/46e43q.png , 540 , 960 , [192, 191, 192], [11, 5, 6], [139, 122, 112], [59, 56, 45]
1035805 , https://i.imgflip.com/m78d.jpg , 649 , 500 , [183, 192, 209], [42, 42, 48], [98, 100, 132], [228, 226, 238]
101511 , https://i.imgflip.com/26br.jpg , 333 , 500 , [28, 194, 201], [78, 71, 30], [210, 213, 207], [22, 34, 21]
135678846 , https://i.imgflip.com/28s2gu.jpg , 1440 , 1280 , [37, 43, 58], [105, 110, 131], [53, 67, 109], [18, 19, 29]
134797956 , https://i.imgflip.com/2896ro.jpg , 1800 , 640 , [17, 15, 17], [137, 142, 154], [190, 190, 194], [74, 78, 93]
91538330 , https://i.imgflip.com/1ihzfe.jpg , 1440 , 2118 , [94, 100, 119], [111, 158, 218], [43, 72, 136], [33, 34, 60]
155067746 , https://i.imgflip.com/2kbn1e.jpg , 1893 , 1893 , [42, 187, 237], [254, 254, 254], [32, 88, 153], [46, 103, 64]
61580 , https://i.imgflip.com/1bik.jpg , 316 , 420 , [166, 74, 58], [30, 33, 33], [197, 217, 224], [81, 117, 153]
102156234 , https://i.imgflip.com/1otk96.jpg , 353 , 502 , [226, 139, 61], [39, 94, 54], [93, 224, 218], [230, 183, 150]
21735 , https://i.imgflip.com/grr.jpg , 700 , 568 , [81, 91, 101], [167, 178, 183], [26, 33, 42], [251, 251, 251]
79132341 , https://i.imgflip.com/1b42wl.jpg , 680 , 500 , [206, 206, 207], [144, 210, 184], [253, 253, 253], [97, 100, 104]
21604248 , https://i.imgflip.com/cv1y0.jpg , 497 , 620 , [41, 43, 70], [13, 12, 21], [98, 101, 121], [181, 174, 181]
